u,v,name,highway,length,geometry_wkt
247012058,6722197749,Brien Lane,pedestrian,3.43127631448853,"LINESTRING (144.9684712 -37.8115887, 144.9684847 -37.8116177)"
6722197749,6167417966,Brien Lane,pedestrian,99.54048205085401,"LINESTRING (144.9684847 -37.8116177, 144.9688725 -37.8124601)"
6167417966,2188406738,Brien Lane,pedestrian,2.813597091310114,"LINESTRING (144.9688725 -37.8124601, 144.9688835 -37.8124839)"
247012065,6167236681,,footway,26.362557324014443,"LINESTRING (144.9681757 -37.8109379, 144.9680706 -37.8107155)"
247012601,247012604,Croft Alley,pedestrian,18.13178184660621,"LINESTRING (144.9687655 -37.8117121, 144.9689601 -37.8116587)"
247012604,247012607,Croft Alley,pedestrian,51.4857309076064,"LINESTRING (144.9689601 -37.8116587, 144.9691604 -37.8120945)"
595594350,6167236680,Cohen Place,pedestrian,8.353553142845366,"LINESTRING (144.9688834 -37.8103967, 144.9689134 -37.8104681)"
6167236680,247018102,Cohen Place,pedestrian,27.98730744046334,"LINESTRING (144.9689134 -37.8104681, 144.969025 -37.8107042)"
247022855,247022858,,pedestrian,40.5655476404472,"LINESTRING (144.9690419 -37.8142048, 144.9688877 -37.8138604)"
247022862,6722119727,Alfred Place,pedestrian,4.820677065758661,"LINESTRING (144.9698006 -37.8134226, 144.9698183 -37.8134637)"
6722119727,6167191153,Alfred Place,pedestrian,97.3775823477856,"LINESTRING (144.9698183 -37.8134637, 144.9701921 -37.8142894)"
6167191153,2180785592,Alfred Place,pedestrian,6.611689651247335,"LINESTRING (144.9701921 -37.8142894, 144.9702177 -37.8143454)"
247032073,6721914073,,footway,3.779218186656927,"LINESTRING (144.9726604 -37.814807, 144.9726476 -37.8147745)"
6721914073,588194210,,footway,2.4381017389754436,"LINESTRING (144.9726476 -37.8147745, 144.9726399 -37.8147534)"
255058363,6167413246,Westwood Place,footway,26.20095310663548,"LINESTRING (144.9713046 -37.8122162, 144.9712052 -37.8119937)"
6167413246,2187983889,Westwood Place,footway,5.338296722689648,"LINESTRING (144.9712052 -37.8119937, 144.9711838 -37.8119487)"
2279153657,6167357863,Ulster Lane,pedestrian,9.858215492502879,"LINESTRING (144.9735763 -37.8126263, 144.9734707 -37.8126558)"
6167357863,13824043950,Ulster Lane,pedestrian,15.05913308737992,"LINESTRING (144.9734707 -37.8126558, 144.9733099 -37.812702)"
13824043950,13824043951,Ulster Lane,pedestrian,25.7701279236581,"LINESTRING (144.9733099 -37.812702, 144.9730328 -37.8127767)"
595857809,255061143,Madame Brussels Lane,pedestrian,5.410100332850775,"LINESTRING (144.9707639 -37.8089877, 144.9708184 -37.8089652)"
255061143,6167236670,Madame Brussels Lane,pedestrian,70.66058312834501,"LINESTRING (144.9708184 -37.8089652, 144.9711028 -37.8095605)"
6167236670,595858242,Madame Brussels Lane,pedestrian,6.375461623425943,"LINESTRING (144.9711028 -37.8095605, 144.9711285 -37.8096142)"
370285600,6167417926,,pedestrian,47.22111215328783,"LINESTRING (144.9574888 -37.815543, 144.9580239 -37.8155713)"
370285607,6722694959,,pedestrian,44.073359580411335,"LINESTRING (144.9572729 -37.8150899, 144.9576591 -37.8148373)"
371967864,767594381,,pedestrian,11.037975205681985,"LINESTRING (144.971002 -37.8070298, 144.9709786 -37.8071275)"
767594381,10264193033,,pedestrian,17.793368866867187,"LINESTRING (144.9709786 -37.8071275, 144.9709538 -37.8072866)"
10264193033,371963129,,pedestrian,10.58042626183454,"LINESTRING (144.9709538 -37.8072866, 144.970939 -37.8073812)"
371963129,767667826,,pedestrian,1.3656566402655126,"LINESTRING (144.970939 -37.8073812, 144.9709386 -37.8073935)"
767586330,371967865,,pedestrian,52.26984563281427,"LINESTRING (144.9713013 -37.8065847, 144.9712139 -37.8070505)"
371967865,767594387,,pedestrian,11.880289542701213,"LINESTRING (144.9712139 -37.8070505, 144.9711992 -37.8071569)"
767594387,10264193034,,pedestrian,17.037511843407017,"LINESTRING (144.9711992 -37.8071569, 144.9711722 -37.8073089)"
10264193034,371963463,,pedestrian,10.861260187894423,"LINESTRING (144.9711722 -37.8073089, 144.971155 -37.8074058)"
371963463,767667831,,pedestrian,1.1309714142705116,"LINESTRING (144.971155 -37.8074058, 144.9711533 -37.8074159)"
371967864,371967865,,pedestrian,18.801137134393027,"LINESTRING (144.971002 -37.8070298, 144.9712139 -37.8070505)"
371967865,10174700286,,pedestrian,5.257812829976524,"LINESTRING (144.9712139 -37.8070505, 144.9712709 -37.8070646)"
10174700286,371967867,,pedestrian,8.685746068097552,"LINESTRING (144.9712709 -37.8070646, 144.9713588 -37.8071001)"
371967867,371967868,,pedestrian,11.632761353432327,"LINESTRING (144.9713588 -37.8071001, 144.9714761 -37.8071483)"
